event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
MFN_M08,MFN M08 - Test/observation (numeric) master file Trigger Event (HL7 v2.3),Master Files,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M08
MFN_M08,MFN M08 - Test/observation (numeric) master file Trigger Event (HL7 v2.3),Master Files,MFI,Master file identification segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M08
MFN_M08,MFN M08 - Test/observation (numeric) master file Trigger Event (HL7 v2.3),Master Files,MF TEST NUMERIC,MF TEST NUMERIC group,R,inf,True,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M08
MFN_M08,MFN M08 - Test/observation (numeric) master file Trigger Event (HL7 v2.3),Master Files,MFE,Master file entry segment,R,-,False,MF TEST NUMERIC,1,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M08
MFN_M08,MFN M08 - Test/observation (numeric) master file Trigger Event (HL7 v2.3),Master Files,OM1,General - fields that apply to most observations,R,-,False,MF TEST NUMERIC,1,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M08
MFN_M08,MFN M08 - Test/observation (numeric) master file Trigger Event (HL7 v2.3),Master Files,MF NUMERIC OBSERVATION,MF NUMERIC OBSERVATION group,R,inf,True,MF TEST NUMERIC,1,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M08
