event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
NMD_N02,NMD N02 - Network management data message Trigger Event (HL7 v2.3),Control/Query,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/NMD_N02
NMD_N02,NMD N02 - Network management data message Trigger Event (HL7 v2.3),Control/Query,CLOCK AND STATS WITH NOTES,CLOCK AND STATS WITH NOTES group,R,inf,True,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/NMD_N02
NMD_N02,NMD N02 - Network management data message Trigger Event (HL7 v2.3),Control/Query,CLOCK,CLOCK group,R,inf,True,CLOCK AND STATS WITH NOTES,1,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/NMD_N02
NMD_N02,NMD N02 - Network management data message Trigger Event (HL7 v2.3),Control/Query,APP STATS,APP STATS group,R,inf,True,CLOCK AND STATS WITH NOTES,1,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/NMD_N02
NMD_N02,NMD N02 - Network management data message Trigger Event (HL7 v2.3),Control/Query,APP STATUS,APP STATUS group,R,inf,True,CLOCK AND STATS WITH NOTES,1,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/NMD_N02
