event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
MFN_M04,MFN M04 - Master files charge description Trigger Event (HL7 v2.3),Master Files,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M04
MFN_M04,MFN M04 - Master files charge description Trigger Event (HL7 v2.3),Master Files,MFI,Master file identification segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M04
MFN_M04,MFN M04 - Master files charge description Trigger Event (HL7 v2.3),Master Files,MF CDM,MF CDM group,R,inf,True,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M04
MFN_M04,MFN M04 - Master files charge description Trigger Event (HL7 v2.3),Master Files,MFE,Master file entry segment,R,-,False,MF CDM,1,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M04
MFN_M04,MFN M04 - Master files charge description Trigger Event (HL7 v2.3),Master Files,CDM,Charge Description Master,R,-,False,MF CDM,1,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M04
MFN_M04,MFN M04 - Master files charge description Trigger Event (HL7 v2.3),Master Files,PRC,Pricing,R,-,False,MF CDM,1,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFN_M04
