event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
MFK_M03,Test/Observation acknowledgment Trigger Event (HL7 v2.3),Master Files,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFK_M03
MFK_M03,Test/Observation acknowledgment Trigger Event (HL7 v2.3),Master Files,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFK_M03
MFK_M03,Test/Observation acknowledgment Trigger Event (HL7 v2.3),Master Files,ERR,Error segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFK_M03
MFK_M03,Test/Observation acknowledgment Trigger Event (HL7 v2.3),Master Files,MFI,Master file identification segment,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFK_M03
MFK_M03,Test/Observation acknowledgment Trigger Event (HL7 v2.3),Master Files,MFA,Master file acknowledgement segment,R,-,False,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFK_M03
