event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
VQQ_Q01,VQQ Q01 - Virtual table query Trigger Event (HL7 v2.3),Control/Query,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VQQ_Q01
VQQ_Q01,VQQ Q01 - Virtual table query Trigger Event (HL7 v2.3),Control/Query,VTQ,Virtual Table Query Request,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VQQ_Q01
VQQ_Q01,VQQ Q01 - Virtual table query Trigger Event (HL7 v2.3),Control/Query,RDF,Table Row Definition,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VQQ_Q01
VQQ_Q01,VQQ Q01 - Virtual table query Trigger Event (HL7 v2.3),Control/Query,DSC,Continuation pointer segment,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VQQ_Q01
