event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
EDR_R07,EDR R07 - Enhanced display response Trigger Event (HL7 v2.3),Control/Query,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/EDR_R07
EDR_R07,EDR R07 - Enhanced display response Trigger Event (HL7 v2.3),Control/Query,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/EDR_R07
EDR_R07,EDR R07 - Enhanced display response Trigger Event (HL7 v2.3),Control/Query,ERR,Error segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/EDR_R07
EDR_R07,EDR R07 - Enhanced display response Trigger Event (HL7 v2.3),Control/Query,QAK,Query Acknowledgement,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/EDR_R07
EDR_R07,EDR R07 - Enhanced display response Trigger Event (HL7 v2.3),Control/Query,DSP,Display data segment,R,-,False,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/EDR_R07
EDR_R07,EDR R07 - Enhanced display response Trigger Event (HL7 v2.3),Control/Query,DSC,Continuation pointer segment,R,-,False,,0,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/EDR_R07
