event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
EQQ_Q01,EQQ Q01 - Embedded query language query Trigger Event (HL7 v2.3),Control/Query,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/EQQ_Q01
EQQ_Q01,EQQ Q01 - Embedded query language query Trigger Event (HL7 v2.3),Control/Query,EQL,Embedded Query Language,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/EQQ_Q01
EQQ_Q01,EQQ Q01 - Embedded query language query Trigger Event (HL7 v2.3),Control/Query,DSC,Continuation pointer segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/EQQ_Q01
