event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
MFR_M04,Charge description Trigger Event (HL7 v2.3),Master Files,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFR_M04
MFR_M04,Charge description Trigger Event (HL7 v2.3),Master Files,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFR_M04
MFR_M04,Charge description Trigger Event (HL7 v2.3),Master Files,ERR,Error segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFR_M04
MFR_M04,Charge description Trigger Event (HL7 v2.3),Master Files,QRD,Query definition segment,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFR_M04
MFR_M04,Charge description Trigger Event (HL7 v2.3),Master Files,QRF,Query filter segment,R,-,False,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFR_M04
MFR_M04,Charge description Trigger Event (HL7 v2.3),Master Files,MFI,Master file identification segment,R,-,False,,0,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFR_M04
MFR_M04,Charge description Trigger Event (HL7 v2.3),Master Files,MF QUERY,MF QUERY group,R,inf,True,,0,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFR_M04
MFR_M04,Charge description Trigger Event (HL7 v2.3),Master Files,MFE,Master file entry segment,R,-,False,MF QUERY,1,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFR_M04
MFR_M04,Charge description Trigger Event (HL7 v2.3),Master Files,DSC,Continuation pointer segment,R,-,False,,0,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/MFR_M04
